date-time,pos,price,ts,Asset,PnL
14-07-2022 19:30:01,el,20144.83,1657812601,BTC,48.75
14-07-2022 19:45:00,xl,20316.01,1657813500,BTC,66.85
15-07-2022 11:31:22,el,20851.1,1657870282,BTC,0
15-07-2022 11:47:47,xl,20811.01,1657871267,BTC,-0.19
15-07-2022 12:10:35,es,37.76,1657872635,SOL,0
15-07-2022 12:13:18,xs,37.79,1657872798,SOL,-0.08
15-07-2022 12:14:01,es,0.1884,1657872841,BEAM,0
15-07-2022 12:14:34,xs,0.1881,1657872874,BEAM,0.16
