date-time,pos,Asset,price,ts,btc_24hr_pc,PnL
15-09-2022 19:00:03,es,ETH,1490.19,1663254003,0.0,0
15-09-2022 19:10:03,xs,ETH,1462.87,1663254103,0.0,1.82
15-09-2022 19:30:03,es,ETH,1487.09,1663254003,0.0,0
16-09-2022 02:30:03,xs,ETH,1458.85,1663254103,0.0,1.81
16-09-2022 03:00:03,es,ETH,1474.45,1663254003,0.0,0
16-09-2022 02:30:03,xs,ETH,1446.48,1663254103,0.0,1.82
16-09-2022 17:30:05,es,ETH,1463.47,1663335005,0.0,0
16-09-2022 17:52:25,xs,ETH,1437.81,1663336345,0.0,1.78
16-09-2022 20:00:02,es,ETH,1451.85,1663344002,0.0,0
16-09-2022 20:27:57,xs,ETH,1425.44,1663345677,0.0,1.85
16-09-2022 20:30:01,es,ETH,1423.84,1663345801,0.0,0
18-09-2022 20:13:18,xs,ETH,1400.01,1663517598,0.0,1.7
18-09-2022 20:30:02,es,ETH,1399.66,1663518602,0.0,0
18-09-2022 22:17:19,xs,ETH,1370.0,1663525039,0.0,2.16
18-09-2022 22:30:01,es,ETH,1379.13,1663525801,0.0,0
19-09-2022 01:09:33,xs,ETH,1354.12,1663535373,0.0,1.85
19-09-2022 01:30:01,es,ETH,1329.83,1663536601,0.0,0
19-09-2022 06:16:40,xs,ETH,1313.1,1663553800,0.0,1.27
19-09-2022 06:30:03,es,ETH,1308.5,1663554603,0.0,0
19-09-2022 07:30:40,xs,ETH,1283.1,1663553800,0.0,1.81
19-09-2022 08:00:03,es,ETH,1293.5,1663554603,0.0,0
21-09-2022 22:00:05,xs,ETH,1406.28,1663783205,0.0,-8.02
22-09-2022 02:30:00,es,ETH,1233.1,1663799400,0.0,0
22-09-2022 23:46:51,xs,ETH,1332.85,1663876011,0.0,-7.48
23-09-2022 15:30:01,es,ETH,1293.24,1663932601,0.0,0
23-09-2022 17:59:52,xs,ETH,1268.21,1663941592,0.0,1.97
23-09-2022 18:30:01,es,ETH,1284.13,1663943401,0.0,0
27-09-2022 05:30:01,el,ETH,1365.74,1664242201,0.0,-5.98
27-09-2022 10:18:47,xl,ETH,1392.53,1664259527,0.0,1.96
27-09-2022 10:30:01,el,ETH,1391.01,1664260201,0.0,0
28-09-2022 07:00:02,es,ETH,1276.97,1664334002,0.0,-8.2
28-09-2022 14:05:35,xs,ETH,1256.07,1664359535,0.0,1.66
01-10-2022 20:30:01,es,ETH,1316.89,1664641801,0.0,0
02-10-2022 14:15:24,xs,ETH,1294.55,1664705724,0.0,1.73
02-10-2022 14:30:02,es,ETH,1291.25,1664706602,0.0,0
03-10-2022 04:07:02,xs,ETH,1264.19,1664755622,0.0,2.14
03-10-2022 04:30:01,es,ETH,1281.58,1664757001,0.0,0
04-10-2022 11:00:03,el,ETH,1337.8,1664866803,0.0,-4.2
04-10-2022 18:01:29,xl,ETH,1360.76,1664892089,0.0,1.72
04-10-2022 18:30:01,el,ETH,1349.99,1664893801,0.0,0
05-10-2022 17:30:03,es,ETH,1323.21,1664976603,0.0,-1.98
06-10-2022 04:30:01,el,ETH,1363.88,1665016201,0.0,-2.98
07-10-2022 20:30:01,es,ETH,1321.99,1665160201,0.0,-3.07
10-10-2022 05:30:01,el,ETH,1332.74,1665365401,0.0,-0.81
10-10-2022 20:30:01,es,ETH,1305.06,1665419401,0.0,-2.08
11-10-2022 04:05:54,xs,ETH,1280.22,1665446754,0.0,1.94
11-10-2022 04:30:02,es,ETH,1277.45,1665448202,0.0,0
13-10-2022 14:20:52,xs,ETH,1255.27,1665656452,0.0,1.77
13-10-2022 14:30:02,es,ETH,1241.23,1665657002,0.0,0
13-10-2022 16:31:44,xs,ETH,1212.41,1665664304,0.0,2.38
14-10-2022 06:00:02,el,ETH,1330.22,1665712802,0.0,0
16-10-2022 01:30:00,es,ETH,1276.6,1665869400,0.0,-4.03
17-10-2022 03:00:02,el,ETH,1308.82,1665961202,0.0,-2.46
17-10-2022 17:37:25,xl,ETH,1331.44,1666013845,0.0,1.73
17-10-2022 18:00:03,el,ETH,1332.59,1666015203,0.0,0
18-10-2022 23:00:07,es,ETH,1292.65,1666119607,0.0,-3.0
21-10-2022 16:11:32,xs,ETH,1267.25,1666354292,0.0,2.0
21-10-2022 16:30:02,es,ETH,1263.74,1666355402,0.0,0
21-10-2022 20:30:02,el,ETH,1295.85,1666369802,0.0,-2.48
22-10-2022 20:05:54,xl,ETH,1319.96,1666454754,0.0,1.86
22-10-2022 20:30:02,el,ETH,1313.34,1666456202,0.0,0
24-10-2022 02:01:10,xl,ETH,1356.22,1666562470,0.0,3.26
24-10-2022 02:30:01,el,ETH,1361.25,1666564201,0.0,0
25-10-2022 19:50:46,xl,ETH,1407.58,1666713046,0.0,3.4
25-10-2022 20:00:05,el,ETH,1408.3,1666713605,0.0,0
25-10-2022 21:00:18,xl,ETH,1440.21,1666717218,0.0,2.27
26-10-2022 13:00:02,el,ETH,1536.5,1666774802,0.0,0
26-10-2022 18:13:01,xl,ETH,1559.19,1666793581,0.0,1.48
28-10-2022 04:30:01,es,ETH,1512.83,1666917001,0.0,0
28-10-2022 16:30:17,xs,ETH,1499.31,1666960217,0.0,0.9
29-10-2022 09:30:01,el,ETH,1591.08,1667021401,0.0,0
29-10-2022 12:18:57,xl,ETH,1619.89,1667031537,0.0,1.81
29-10-2022 12:30:01,el,ETH,1629.11,1667032201,0.0,0
29-10-2022 21:50:29,xl,ETH,1654.6,1667065829,0.0,1.56
31-10-2022 06:30:01,es,ETH,1566.55,1667183401,0.0,0
31-10-2022 14:30:01,el,ETH,1622.83,1667212201,0.0,-3.47
