Signal,DateTime,Price
S,08-07-2023 09:15:00,30200.0
L,09-07-2023 05:00:01,30326.9
S,10-07-2023 00:45:01,30180.8
L,10-07-2023 18:45:01,30213.8
S,12-07-2023 23:30:01,30345.9
L,13-07-2023 14:00:00,30559.5
S,14-07-2023 17:15:00,31154.8
L,14-07-2023 19:00:01,31290.2
S,14-07-2023 20:30:01,31167.1
L,15-07-2023 22:45:01,30320.0
S,16-07-2023 01:15:01,30271.6
L,16-07-2023 18:45:00,30380.1
S,17-07-2023 14:00:03,30163.6
L,19-07-2023 08:30:01,30128.0
S,19-07-2023 19:00:04,29812.7
L,20-07-2023 13:00:01,30254.3
S,20-07-2023 19:00:01,29756.5
L,21-07-2023 17:30:07,29857.5
S,22-07-2023 16:45:01,29831.9
L,23-07-2023 09:30:00,29955.8
S,24-07-2023 13:00:02,29744.1
L,25-07-2023 13:00:04,29176.9
S,25-07-2023 16:00:03,29117.6
L,25-07-2023 18:00:03,29270.1
S,27-07-2023 19:15:02,29251.1
L,28-07-2023 16:15:01,29258.4
S,29-07-2023 16:15:01,29255.1
L,30-07-2023 19:15:01,29379.6
S,31-07-2023 00:15:01,29131.6
L,31-07-2023 05:00:02,29439.5
S,31-07-2023 20:15:02,29194.3
L,02-08-2023 03:15:02,29368.0
S,02-08-2023 18:30:04,29294.5
L,03-08-2023 19:00:03,29389.1
S,04-08-2023 15:00:01,29152.7
L,04-08-2023 17:15:02,29232.9
S,04-08-2023 23:00:07,29040.0
