date-time,pos,price,ts,PnL
29-05-2022 05:45:03,es,28898.39,1653788703,0
29-05-2022 17:00:01,el,29380.44,1653829201,-1.64
30-05-2022 05:37:48,xl,29639.08,1653874668,0.88
30-05-2022 07:00:01,el,30229.98,1653879601,0
30-05-2022 10:08:15,xl,30548.79,1653890895,1.05
30-05-2022 11:00:01,el,30702.52,1653894001,0
31-05-2022 00:24:53,xl,31142.63,1653942293,1.43
31-05-2022 01:00:02,el,31297.31,1653944402,0
31-05-2022 01:17:39,xl,31153.87,1653945459,-0.46
31-05-2022 02:00:03,el,31815.66,1653948003,0
31-05-2022 19:53:13,xl,32142.5,1654012393,1.03
01-06-2022 19:00:04,es,31155.81,1654095604,0
01-06-2022 19:23:50,xs,30872.56,1654097030,0.92
01-06-2022 21:00:02,es,30413.54,1654102802,0
01-06-2022 21:08:26,xs,30100.98,1654103306,1.04
01-06-2022 22:00:03,es,30168.0,1654106403,0
02-06-2022 00:27:15,xs,29932.16,1654115235,0.79
02-06-2022 01:00:03,es,29621.4,1654117203,0
02-06-2022 23:00:02,el,30138.75,1654196402,-1.72
03-06-2022 02:07:02,xl,30443.02,1654207622,1.01
03-06-2022 17:00:04,es,29519.02,1654261204,0
03-06-2022 18:45:56,xs,29298.78,1654267556,0.75
06-06-2022 07:00:01,el,30937.07,1654484401,0
06-06-2022 09:00:00,xl,31222.9,1654491600,0.92
06-06-2022 20:00:01,el,31545.4,1654531201,0
10-06-2022 06:00:02,es,29879.46,1654826402,-5.28
10-06-2022 11:00:00,xs,30101.29,1654844400,-0.74
10-06-2022 22:00:01,es,29110.54,1654884001,0
11-06-2022 14:00:01,xs,29073.02,1654941601,0.13
11-06-2022 19:00:01,es,28421.02,1654959601,0
11-06-2022 20:00:01,xs,28407.49,1654963201,0.05
11-06-2022 23:00:01,es,28611.64,1654974001,0
12-06-2022 06:00:01,xs,28244.71,1654999201,1.3
12-06-2022 08:00:02,es,27551.03,1655006402,0
12-06-2022 19:00:01,xs,27827.79,1655046001,-0.99
13-06-2022 06:00:01,es,25766.56,1655085601,0
13-06-2022 07:00:00,xs,25341.4,1655089200,1.68
13-06-2022 07:00:02,es,25344.48,1655089202,0
13-06-2022 10:00:01,xs,25232.2,1655100001,0.44
13-06-2022 14:00:01,es,24030.58,1655114401,0
13-06-2022 16:00:01,xs,23729.51,1655121601,1.27
13-06-2022 20:00:04,es,23271.79,1655136004,0
14-06-2022 03:00:00,xs,22587.9,1655161200,3.03
14-06-2022 08:00:02,es,22112.42,1655179202,0
15-06-2022 09:00:00,xs,21144.05,1655269200,4.58
15-06-2022 12:00:04,es,20708.1,1655280004,0
15-06-2022 23:00:02,xs,21538.39,1655319602,-3.85
16-06-2022 12:00:03,es,21762.9,1655366403,0
16-06-2022 14:00:02,xs,21263.9,1655373602,2.35
16-06-2022 21:00:02,es,21182.04,1655398802,0
17-06-2022 01:00:01,xs,20705.2,1655413201,2.3
18-06-2022 12:00:21,es,19253.64,1655539221,0
18-06-2022 13:00:01,xs,19002.32,1655542801,1.32
18-06-2022 14:00:02,es,19167.13,1655546402,0
18-06-2022 21:00:01,xs,18887.0,1655571601,1.48
19-06-2022 00:00:06,es,18061.22,1655582406,0
19-06-2022 01:00:02,xs,17800.28,1655586002,1.47
19-06-2022 02:00:00,es,18520.57,1655589600,0
19-06-2022 16:00:02,el,19699.6,1655640002,-5.99
19-06-2022 23:00:05,xl,20243.27,1655665205,2.76
22-06-2022 16:00:01,el,20502.54,1655899201,0
22-06-2022 18:00:04,xl,20741.7,1655906404,1.17
27-06-2022 20:00:02,es,20752.48,1656345602,0
27-06-2022 23:00:01,xs,20810.75,1656356401,-0.28
28-06-2022 11:00:01,el,20868.09,1656399601,0
28-06-2022 13:00:03,xl,21133.87,1656406803,1.27
30-06-2022 12:00:05,es,19435.58,1656576005,0
30-06-2022 13:00:02,xs,19225.7,1656579602,1.09
30-06-2022 15:00:02,es,19102.94,1656586802,0
30-06-2022 18:00:02,xs,18860.0,1656597602,1.29
30-06-2022 19:00:03,es,19127.99,1656601203,0
01-07-2022 01:00:03,xs,18754.9,1656622803,1.99
04-07-2022 17:00:01,el,19712.8,1656939601,0
04-07-2022 20:00:02,xl,19801.48,1656950402,0.45
07-07-2022 20:00:02,el,20888.45,1657209602,0
07-07-2022 21:00:00,xl,21090.23,1657213200,0.97
08-07-2022 01:00:01,el,21624.03,1657227601,0
08-07-2022 06:00:01,xl,22140.23,1657245601,2.39
08-07-2022 07:00:01,el,21990.21,1657249201,0
10-07-2022 19:00:01,es,20859.38,1657465201,-5.14
10-07-2022 19:00:03,xs,20859.01,1657465203,0.0
10-07-2022 22:00:01,es,20902.76,1657476001,0
11-07-2022 03:00:01,xs,20839.29,1657494001,0.3
11-07-2022 19:00:02,es,20393.81,1657551602,0
12-07-2022 02:00:03,xs,20229.81,1657576803,0.81
13-07-2022 22:00:02,el,19887.83,1657735202,0
14-07-2022 14:00:02,es,19823.26,1657792802,-0.32
