date-time,pos,price,ts,PnL
30-05-2022 06:00:03,xs,29761.5,1653788703,0
30-05-2022 10:17:33,el,30871.29,1653891453,0
30-05-2022 11:00:00,xl,30702.53,1653894000,-0.55
30-05-2022 14:53:04,el,30626.0,1653907984,0
30-05-2022 15:00:01,xl,30596.35,1653908401,-0.1
30-05-2022 16:29:02,el,30482.52,1653913742,0
30-05-2022 17:00:00,xl,30537.25,1653915600,0.18
30-05-2022 23:41:39,el,30785.47,1653939699,0
31-05-2022 00:00:01,xl,30643.1,1653940801,-0.46
31-05-2022 02:00:04,el,31824.14,1653948004,0
01-06-2022 18:36:45,es,30977.99,1654094205,-2.66
01-06-2022 20:00:01,xs,30742.59,1654099201,0.77
01-06-2022 20:18:00,es,30632.43,1654100280,0
01-06-2022 21:00:00,xs,30419.63,1654102800,0.7
01-06-2022 21:17:24,es,30197.93,1654103844,0
01-06-2022 22:00:00,xs,30179.67,1654106400,0.06
01-06-2022 22:34:48,es,30230.24,1654108488,0
01-06-2022 23:00:00,xs,30166.87,1654110000,0.21
02-06-2022 00:29:04,es,29682.21,1654115344,0
02-06-2022 01:00:01,xs,29621.4,1654117201,0.21
02-06-2022 01:00:03,es,29621.39,1654117203,0
02-06-2022 02:00:01,xs,29592.92,1654120801,0.1
02-06-2022 02:00:02,es,29589.68,1654120802,0
02-06-2022 03:00:00,xs,29748.74,1654124400,-0.53
03-06-2022 15:00:06,es,29810.08,1654254006,0
03-06-2022 16:00:01,xs,29758.2,1654257601,0.17
03-06-2022 16:39:14,es,29642.87,1654259954,0
03-06-2022 17:00:02,xs,29529.09,1654261202,0.39
03-06-2022 17:45:25,es,29584.84,1654263925,0
03-06-2022 18:00:04,xs,29706.45,1654264804,-0.41
03-06-2022 18:43:48,es,29354.61,1654267428,0
03-06-2022 19:00:00,xs,29472.14,1654268400,-0.4
03-06-2022 19:55:55,es,29526.14,1654271755,0
03-06-2022 20:00:01,xs,29508.17,1654272001,0.06
06-06-2022 09:00:01,el,31222.9,1654491601,0
06-06-2022 10:00:01,xl,31170.0,1654495201,-0.17
06-06-2022 18:00:01,el,31458.36,1654524001,0
06-06-2022 19:00:01,xl,31508.33,1654527601,0.16
06-06-2022 19:00:01,el,31514.45,1654527601,0
06-06-2022 20:00:00,xl,31541.41,1654531200,0.09
06-06-2022 20:00:01,el,31545.4,1654531201,0
06-06-2022 21:00:00,xl,31310.94,1654534800,-0.74
06-06-2022 21:00:02,el,31307.49,1654534802,0
06-06-2022 22:00:01,xl,31348.28,1654538401,0.13
07-06-2022 07:00:02,es,29396.38,1654570802,0
07-06-2022 08:00:01,xs,29565.31,1654574401,-0.57
07-06-2022 08:00:01,es,29565.31,1654574401,0
07-06-2022 09:00:00,xs,29525.91,1654578000,0.13
08-06-2022 02:00:02,el,31404.64,1654639202,0
08-06-2022 03:00:01,xl,31311.89,1654642801,-0.3
08-06-2022 03:00:01,el,31325.63,1654642801,0
08-06-2022 04:00:01,xl,31125.33,1654646401,-0.64
10-06-2022 05:00:01,es,29769.46,1654822801,0
10-06-2022 06:00:01,xs,29879.46,1654826401,-0.37
10-06-2022 18:00:07,es,29375.06,1654869607,0
10-06-2022 19:00:02,xs,29565.0,1654873202,-0.64
10-06-2022 21:00:02,es,29043.44,1654880402,0
10-06-2022 22:00:00,xs,29112.21,1654884000,-0.24
11-06-2022 19:00:03,es,28405.89,1654959603,0
11-06-2022 20:00:01,xs,28407.49,1654963201,-0.01
11-06-2022 20:00:02,es,28407.48,1654963202,0
11-06-2022 21:00:01,xs,28474.0,1654966801,-0.23
11-06-2022 21:00:03,es,28463.67,1654966803,0
11-06-2022 22:00:00,xs,28499.24,1654970400,-0.12
12-06-2022 07:00:03,es,27390.16,1655002803,0
12-06-2022 08:00:01,xs,27551.04,1655006401,-0.58
12-06-2022 08:00:04,es,27547.39,1655006404,0
12-06-2022 09:00:00,xs,27436.64,1655010000,0.4
12-06-2022 10:00:02,es,27267.2,1655013602,0
12-06-2022 11:00:00,xs,27484.07,1655017200,-0.79
13-06-2022 06:00:02,es,25751.05,1655085602,0
13-06-2022 07:00:01,xs,25341.51,1655089201,1.62
13-06-2022 07:00:02,es,25344.48,1655089202,0
13-06-2022 08:00:01,xs,25516.22,1655092801,-0.67
13-06-2022 08:00:02,es,25501.67,1655092802,0
13-06-2022 09:00:00,xs,25382.97,1655096400,0.47
13-06-2022 10:00:01,es,25232.16,1655100001,0
13-06-2022 11:00:00,xs,25347.72,1655103600,-0.46
13-06-2022 11:00:02,es,25347.72,1655103602,0
13-06-2022 12:00:04,xs,24816.21,1655107204,2.14
13-06-2022 13:00:03,es,24194.42,1655110803,0
13-06-2022 14:00:00,xs,24039.59,1655114400,0.64
13-06-2022 15:00:01,es,24000.02,1655118001,0
13-06-2022 16:00:04,xs,23752.4,1655121604,1.04
13-06-2022 17:00:01,es,23689.32,1655125201,0
13-06-2022 18:00:03,xs,23631.48,1655128803,0.24
15-06-2022 14:00:01,es,20243.01,1655287201,0
15-06-2022 15:00:01,xs,20575.55,1655290801,-1.62
15-06-2022 15:00:02,es,20579.87,1655290802,0
15-06-2022 16:00:01,xs,21184.1,1655294401,-2.85
16-06-2022 06:00:01,el,22367.2,1655344801,0
16-06-2022 07:00:01,xl,22459.64,1655348401,0.41
18-06-2022 22:00:01,es,18624.99,1655575201,0
18-06-2022 23:00:00,xs,18221.96,1655578800,2.21
18-06-2022 23:00:01,es,18221.95,1655578801,0
19-06-2022 00:00:02,xs,18061.01,1655582402,0.89
19-06-2022 00:00:04,es,18065.75,1655582404,0
19-06-2022 01:00:00,xs,17811.87,1655586000,1.43
19-06-2022 01:00:01,es,17803.28,1655586001,0
19-06-2022 02:00:00,xs,18517.62,1655589600,-3.86
19-06-2022 02:00:00,es,18517.72,1655589600,0
19-06-2022 04:00:01,xs,18970.79,1655596801,-2.39
19-06-2022 09:00:01,es,18512.12,1655614801,0
19-06-2022 10:00:01,xs,18126.09,1655618401,2.13
19-06-2022 15:00:02,el,19903.09,1655636402,0
19-06-2022 16:00:01,xl,19699.6,1655640001,-1.02
20-06-2022 00:00:01,el,20121.66,1655668801,0
20-06-2022 01:00:00,xl,20639.06,1655672400,2.57
20-06-2022 01:00:01,el,20646.59,1655672401,0
20-06-2022 02:00:01,xl,20408.49,1655676001,-1.15
21-06-2022 18:00:04,el,21630.29,1655820004,0
21-06-2022 19:00:01,xl,21595.0,1655823601,-0.16
21-06-2022 19:00:03,el,21595.0,1655823603,0
21-06-2022 20:00:02,xl,21392.19,1655827202,-0.94
22-06-2022 09:00:02,es,20430.24,1655874002,0
22-06-2022 10:00:01,xs,20368.77,1655877601,0.3
25-06-2022 02:00:00,el,21317.85,1656108000,0
25-06-2022 03:00:01,xl,21311.68,1656111601,-0.03
26-06-2022 16:00:03,el,21706.66,1656244803,0
26-06-2022 17:00:02,xl,21459.86,1656248402,-1.14
27-06-2022 23:00:02,es,20810.74,1656356402,0
28-06-2022 00:00:02,xs,20869.52,1656360002,-0.28
29-06-2022 00:00:03,es,20251.0,1656446403,0
29-06-2022 01:00:02,xs,20274.32,1656450002,-0.12
29-06-2022 10:00:02,es,20182.84,1656482402,0
29-06-2022 10:00:03,xs,20176.26,1656482403,0.03
29-06-2022 11:00:03,es,19940.6,1656486003,0
29-06-2022 11:00:05,xs,19928.0,1656486005,0.06
29-06-2022 16:00:02,es,20100.23,1656504002,0
29-06-2022 16:00:03,xs,20101.37,1656504003,-0.01
29-06-2022 18:00:04,es,20080.15,1656511204,0
29-06-2022 18:00:06,xs,20076.27,1656511206,0.02
30-06-2022 12:00:04,es,19435.58,1656576004,0
30-06-2022 13:00:02,xs,19225.69,1656579602,1.09
30-06-2022 13:00:02,es,19225.7,1656579602,0
30-06-2022 14:00:03,xs,19145.0,1656583203,0.42
30-06-2022 14:00:04,es,19140.57,1656583204,0
30-06-2022 15:00:03,xs,19102.34,1656586803,0.2
30-06-2022 17:00:03,es,19204.36,1656594003,0
30-06-2022 17:00:03,xs,19204.36,1656594003,0.0
30-06-2022 18:00:04,es,18860.0,1656597604,0
30-06-2022 19:00:03,xs,19127.99,1656601203,-1.4
01-07-2022 01:00:02,es,18754.54,1656622802,0
01-07-2022 02:00:02,xs,18822.56,1656626402,-0.36
04-07-2022 22:00:01,el,19907.75,1656957601,0
04-07-2022 23:00:00,xl,19930.71,1656961200,0.12
05-07-2022 03:00:02,el,20165.33,1656975602,0
05-07-2022 04:00:01,xl,20228.91,1656979201,0.32
05-07-2022 04:00:02,el,20234.25,1656979202,0
05-07-2022 05:00:01,xl,20395.6,1656982801,0.8
05-07-2022 05:00:01,el,20399.71,1656982801,0
05-07-2022 06:00:01,xl,20294.11,1656986401,-0.52
07-07-2022 22:00:03,el,20916.99,1657216803,0
07-07-2022 23:00:01,xl,21362.03,1657220401,2.13
07-07-2022 23:00:02,el,21367.55,1657220402,0
08-07-2022 00:00:05,xl,21832.37,1657224005,2.18
08-07-2022 00:00:06,el,21831.65,1657224006,0
08-07-2022 01:00:01,xl,21624.04,1657227601,-0.95
08-07-2022 01:00:02,el,21624.04,1657227602,0
08-07-2022 02:00:01,xl,21674.17,1657231201,0.23
08-07-2022 06:00:03,el,22147.67,1657245603,0
08-07-2022 07:00:01,xl,21990.21,1657249201,-0.71
10-07-2022 18:00:01,es,21076.94,1657461601,0
10-07-2022 19:00:01,xs,20862.67,1657465201,1.03
10-07-2022 19:00:03,es,20859.99,1657465203,0
10-07-2022 20:00:01,xs,20899.04,1657468801,-0.19
10-07-2022 20:00:02,es,20898.28,1657468802,0
10-07-2022 21:00:01,xs,20932.14,1657472401,-0.16
10-07-2022 21:00:02,es,20930.6,1657472402,0
10-07-2022 22:00:00,xs,20903.51,1657476000,0.13
11-07-2022 03:00:01,es,20838.68,1657494001,0
11-07-2022 04:00:02,xs,20859.3,1657497602,-0.1
11-07-2022 06:00:02,es,20544.35,1657504802,0
11-07-2022 07:00:00,xs,20546.55,1657508400,-0.01
11-07-2022 07:00:02,es,20541.78,1657508402,0
11-07-2022 08:00:02,xs,20540.51,1657512002,0.01
11-07-2022 11:00:01,es,20397.44,1657522801,0
11-07-2022 12:00:01,xs,20441.13,1657526401,-0.21
14-07-2022 04:00:04,el,20238.1,1657756804,0
14-07-2022 05:00:01,xl,20311.01,1657760401,0.36
