open,high,low,close,osc11,m_osc11
16329.36703006229,16358.9,16300.4,16332.65,,
16331.008515031146,16388.0,16331.008515031146,16359.075,,
16345.041757515572,16354.8,16326.5,16342.025,,
16343.533378757787,16369.0,16335.1,16351.35,,
16347.441689378897,16398.8,16347.441689378897,16377.750000000002,,
16362.595844689447,16399.5,16362.595844689447,16381.6,,
16372.097922344725,16374.3,16357.0,16365.925,,
16369.011461172362,16369.011461172362,16305.0,16336.975,,
16352.99323058618,16352.99323058618,16080.0,16233.5,,
16293.24661529309,16293.24661529309,16170.6,16202.45,,
16247.848307646544,16247.848307646544,16170.8,16205.2,,
16226.524153823271,16258.8,16215.0,16233.425,,
16229.974576911638,16261.1,16229.1,16243.525,,
16236.749788455818,16258.5,16223.6,16244.175,,
16240.462394227909,16279.9,16240.462394227909,16256.625,37.984986171473714,38.38422539734732
16248.543697113952,16271.7,16230.3,16246.375,36.70435523185808,36.33620866733417
16247.459348556977,16247.459348556977,16202.0,16228.65,34.53599679289758,33.05203589156886
16238.05467427849,16280.0,16234.6,16252.95,39.78773593063636,40.933907242539625
16245.502337139244,16265.3,16245.502337139244,16259.875,41.23457639058717,42.99365185523778
16252.688668569624,16270.0,16243.7,16257.35,40.849146877524326,42.41288841319709
16255.01933428481,16255.01933428481,16230.7,16243.0,38.63869492127821,39.174192383176994
16249.009667142403,16290.0,16233.3,16261.65,42.95883745670436,45.0473615064232
16255.329833571202,16295.8,16255.329833571202,16277.2,46.35044690967492,49.43165485867585
16266.2649167856,16270.1,16243.5,16260.75,43.40991056098209,45.31301161309386
16263.5074583928,16275.3,16230.1,16252.55,41.98019478598128,43.37301371925081
16258.0287291964,16265.1,16207.6,16233.025,38.71088696245355,39.08238208149954
16245.5268645982,16245.5268645982,16187.6,16209.575,35.16845778563868,34.649057356319936
16227.5509322991,16228.2,16192.1,16207.45,34.85717080338277,34.26969042748041
16217.500466149551,16238.2,16201.4,16215.475,37.1207001154323,37.071794011323824
16216.487733074777,16216.487733074777,16135.5,16180.55,31.92209376970644,30.898322281972785
16198.518866537388,16198.518866537388,16136.4,16160.175,29.34052040020636,27.971798013534222
16179.346933268696,16179.346933268696,16120.0,16140.55,27.0697458745162,25.469524391827022
16159.948466634349,16159.948466634349,16038.2,16110.725,24.02640583441544,22.21677306019668
16135.336733317174,16135.336733317174,16043.1,16097.375,22.791254886530822,20.928372286127182
16116.355866658589,16116.355866658589,16002.2,16053.275,19.267548624375195,17.349139503236774
16084.815433329291,16085.0,16000.5,16033.575,17.93367960179296,16.030253658821778
16059.195216664646,16059.195216664646,15969.1,16022.4,17.206012169700657,15.318841662764163
16040.797608332325,16090.0,16040.797608332325,16070.45,30.301394026991588,29.754313789176642
16055.62380416616,16099.9,16055.62380416616,16080.1,32.6068340543448,32.25211875541322
16067.86190208308,16095.9,16067.86190208308,16084.9,33.78015415289133,33.51842506847494
16076.38095104154,16100.0,16037.5,16065.05,31.349437371717016,30.94266871831478
16070.71547552077,16070.71547552077,16016.1,16039.65,28.52130333486265,27.979730530638797
16055.182737760384,16055.182737760384,15992.0,16021.925,26.71042900784647,26.101424938531935
16038.553868880192,16038.553868880192,15912.5,15973.7,22.520817357903297,21.81125863565494
16006.126934440095,16006.126934440095,15900.0,15945.275,20.481573581616573,19.750612585721246
15975.700967220047,16002.8,15941.1,15970.475,26.809004362002568,26.390227609433218
15973.087983610025,16037.0,15973.087983610025,16011.175,35.70717421607448,35.65052124998568
15992.131491805012,16041.8,15992.131491805012,16027.25,38.86836220778766,38.91893579276699
16009.690745902506,16060.0,16009.690745902506,16039.85,41.30447314426111,41.430076257459085
16024.770372951252,16057.7,16024.770372951252,16051.25,43.49834466946896,43.685876953260504
16038.010186475623,16087.6,16038.010186475623,16066.75,46.430169307134136,46.692152239631476
16052.380093237813,16082.0,16028.7,16057.375,44.91219182104645,45.12310974760131
16054.877546618907,16062.1,16036.0,16047.575,43.317885405312936,43.47834678776276
16051.226273309454,16066.4,16031.6,16052.025,44.28504456604183,44.46818626770447
16051.625636654728,16087.4,16051.625636654728,16068.899999999998,47.91446663474908,48.17465683671627
16060.262818327365,16071.8,16016.4,16048.875,44.232181037627335,44.38846791999916
16054.56890916368,16075.7,16035.6,16049.325,44.335707691095735,44.49403972405855
16051.94695458184,16051.94695458184,16023.0,16042.25,42.98463000230997,43.10842078646457
16047.09847729092,16051.6,16038.6,16045.925,43.94026771293123,44.08252430567453
16046.511738645462,16220.0,16046.511738645462,16121.7,59.145537195320905,59.48591787759804
16084.105869322731,16210.4,16084.105869322731,16168.525,65.39226768881286,65.7623071380418
16126.315434661366,16159.7,16116.3,16137.75,59.00643413974251,59.26400604102146
16132.032717330683,16140.8,16118.2,16127.5,57.00956586598371,57.23539871760034
16129.766358665342,16148.5,16128.0,16138.35,58.60644954309783,58.8414435865032
16134.058179332673,16158.1,16131.9,16146.075,59.75273108616738,59.99345743751461
16140.066589666336,16164.9,16140.066589666336,16152.875,60.78225478808271,61.02752905181766
16146.470794833169,16157.7,16113.5,16138.7,57.481402226790685,57.68058763550498
16142.585397416584,16142.585397416584,16113.6,16121.2,53.61061105943007,53.760588231134754
16131.892698708292,16166.9,16116.7,16141.9,57.2755430417666,57.44465443846006
16136.896349354143,16168.9,16136.896349354143,16159.625,60.17678635544296,60.357245613598366
16148.260674677073,16175.4,16148.260674677073,16165.05,61.04861019684502,61.23182442921309
16156.655337338536,16182.7,16156.655337338536,16170.65,61.97404439100126,62.1598520982069
16163.652668669269,16175.9,16151.8,16166.025,60.69153920623163,60.864002894338505
