date-time,pos,Asset,price,ts,btc_24hr_pc,PnL
16-07-2022 21:00:01,el,BTC,21470.14,1657990801,0.0,0
17-07-2022 22:00:02,es,BTC,20909.07,1658080802,0.0,-2.61
18-07-2022 10:00:03,el,BTC,21869.05,1658124003,0.0,-4.39
18-07-2022 11:00:01,xl,BTC,22191.71,1658127601,0.0,1.48
18-07-2022 12:00:02,el,BTC,22254.43,1658131202,0.0,0
18-07-2022 20:00:02,xl,BTC,22674.58,1658160002,0.0,1.89
18-07-2022 21:00:01,el,BTC,22202.31,1658163601,0.0,0
19-07-2022 04:00:02,xl,BTC,22438.89,1658188802,0.0,1.07
19-07-2022 18:00:03,el,BTC,22317.62,1658239203,0.0,0
19-07-2022 19:00:01,xl,BTC,22631.21,1658242801,0.0,1.41
19-07-2022 20:00:04,el,BTC,23159.81,1658246404,0.0,0
19-07-2022 21:00:01,xl,BTC,23234.29,1658250001,0.0,0.32
19-07-2022 22:00:02,el,BTC,23458.11,1658253602,0.0,0
20-07-2022 02:00:01,xl,BTC,23650.26,1658268001,0.0,0.82
21-07-2022 16:00:04,es,BTC,22607.2,1658404804,0.0,0
22-07-2022 18:00:02,el,BTC,23457.93,1658498402,3.32,-3.63
23-07-2022 00:00:05,es,BTC,22575.32,1658520005,-2.64,-3.76
23-07-2022 16:00:02,xs,BTC,22223.45,1658577602,-5.85,1.58
23-07-2022 17:00:01,es,BTC,22277.21,1658581201,-5.53,0
23-07-2022 22:00:01,xs,BTC,22028.32,1658599201,-4.28,1.13
24-07-2022 16:00:01,el,BTC,22658.31,1658664001,1.92,0
