date-time,pos,Asset,price,ts,btc_24hr_pc,PnL
16-07-2022 22:00:03,el,BTC,21264.34,1657994403,0.0,0
17-07-2022 12:00:03,xl,BTC,21468.17,1658044803,0.0,0.96
18-07-2022 11:00:01,el,BTC,22190.89,1658127601,0.0,0
18-07-2022 11:00:02,xl,BTC,22196.16,1658127602,0.0,0.02
18-07-2022 12:00:02,el,BTC,22255.96,1658131202,0.0,0
18-07-2022 13:00:02,xl,BTC,22291.99,1658134802,0.0,0.16
19-07-2022 21:00:03,el,BTC,23241.8,1658250003,0.0,0
19-07-2022 22:00:01,xl,BTC,23456.42,1658253601,0.0,0.92
20-07-2022 13:00:02,el,BTC,23362.5,1658307602,0.0,0
20-07-2022 15:00:01,xl,BTC,23714.43,1658314801,0.0,1.51
23-07-2022 08:00:01,el,BTC,22806.1,1658548801,-0.43,0
