Time	Price	% Diff	Action	Trade
00:00:59	8910.1906490329	0	H
00:01:59	8934.3633475693	0.2712927196347246	H
00:02:59	8943.1348984373	0.09817768235702883	H
00:03:59	8951.7002008475	0.09577516729280293	H
00:04:59	8961.4627040896	0.10905753122938451	S
00:05:59	8958.1319348098	-0.03716769672297922	H
00:06:59	8948.4398734527	-0.10819288471783245	B
00:07:59	8970.5620223531	0.24721794204629818	S
00:08:59	8963.9361756177	-0.07386211386632825	H
00:09:59	8959.4485339098	-0.05006329384749367	B
00:10:59	8975.3263459449	0.17721863097943125	H
00:11:59	8980.9911839455	0.06311567716040153	S
00:12:59	8978.6607453297	-0.02594856812648513	H
00:13:59	8974.4935972186	-0.04641168910706702	H
00:14:59	8968.3116678812	-0.0688833221666693	H
00:15:59	8964.0675191808	-0.04732383148100958	B
00:16:59	8973.8699244075	0.10935220206367885	H
00:17:59	8974.8503196376	0.010924999340967939	H
00:18:59	8979.731614105	0.054388589152495566	S
00:19:59	8973.4045410928	-0.07045948903708919	B
00:20:59	8977.6448624737	0.04725432093786731	S
00:21:59	8976.7464416917	-0.010007310333210442	H
00:22:59	8975.7947873326	-0.010601328279475224	B
00:23:59	8977.0100472807	0.013539301832262535	H
00:24:59	8991.6848672675	0.16347113247628642	S
00:25:59	8985.161012436	-0.07255430909561623	H
00:26:59	8982.6776212277	-0.027638805858485414	H
00:27:59	8981.6858068557	-0.011041411189651875	H
00:28:59	8973.306756849	-0.0932903932166407	H
00:29:59	8970.5455494272	-0.030771347694024204	H
00:30:59	8969.0368890869	-0.016817933000697127	H
00:31:59	8951.3337282163	-0.19738084578669263	B
00:32:59	8962.8469944028	0.12862067861696316	H
00:33:59	8972.0624931366	0.1028188781929992	S
00:34:59	8971.6017100394	-0.005135754432745559	B
00:35:59	8972.7946094813	0.01329639322446315	H
00:36:59	8973.0441140171	0.00278067811267303	S
00:37:59	8967.4928821918	-0.06186564731837938	H
00:38:59	8961.2114556521	-0.07004662977960129	B
00:39:59	8966.8364242238	0.0627701801206057	H
00:40:59	8967.0105574238	0.001941969182461312	H
00:41:59	8971.279484559	0.04760702697807065	H
00:42:59	8971.3392758366	0.0006664743608090401	S
00:43:59	8969.7744101143	-0.017442944405366246	B
00:44:59	8971.7707586456	0.022256396203777673	S
00:45:59	8954.7357281492	-0.18987367103627528	H
00:46:59	8951.8575132981	-0.03214181789924094	H
00:47:59	8951.3238987513	-0.005960936554320704	H
00:48:59	8950.953544373	-0.004137425731529132	H
00:49:59	8944.4093874505	-0.07311128239085073	B
00:50:59	8947.6449363771	0.036173980711803	H
00:51:59	8950.4070049885	0.030869224595283042	H
00:52:59	8956.0226059796	0.06274129196550693	H
00:53:59	8959.1748072063	0.035196441158991836	H
00:54:59	8963.0367664299	0.04310619344644055	S
00:55:59	8962.8723642528	-0.0018342240624819788	H
00:56:59	8955.7143314937	-0.07986315623157668	B
00:57:59	8957.6947195978	0.022113122759338716	S
00:58:59	8957.1775637141	-0.005773314450733828	H
00:59:59	8955.1191970404	-0.022980081159033282	B
01:00:59	8955.8936243992	0.008647873263993263	H
01:01:59	8959.2946406126	0.037975174293432425	S
01:02:59	8952.9689183782	-0.07060513676741288	B
01:03:59	8954.8683740643	0.021215930753436675	H
01:04:59	8965.9544452592	0.12379937629244259	H
01:05:59	8972.1307466987	0.06888615681920901	H
01:06:59	8976.2056027171	0.045416814951114194	H
01:07:59	8978.5877868656	0.026538876825408723	S
01:08:59	8974.2201135227	-0.04864543786373006	B
01:09:59	8975.1449717782	0.010305722879535689	S
01:10:59	8974.4271446175	-0.00799794502435538	H
01:11:59	8972.5493819848	-0.020923481827218184	H
01:12:59	8970.2928079371	-0.0251497534494605	H
01:13:59	8967.7714360324	-0.028108022320829838	B
01:14:59	8969.9925714667	0.02476797552372233	H
01:15:59	8970.393684703	0.004471723171491605	H
01:16:59	8971.0902029631	0.007764634246627561	H
01:17:59	8971.7108667775	0.006918488169859756	H
01:18:59	8972.8414971893	0.012602171743935965	H
01:19:59	8974.2716268907	0.01593842599190884	H
01:20:59	8978.3201402786	0.04511244540189944	S
01:21:59	8978.0689053523	-0.002798239786222799	H
01:22:59	8977.6670764177	-0.00447567220564397	H
01:23:59	8974.8029355838	-0.031902952175877075	H
01:24:59	8973.3478906073	-0.016212556274991193	H
01:25:59	8970.2713866039	-0.034284907271014624	H
01:26:59	8969.2770505513	-0.011084793422018367	B
01:27:59	8972.194741286	0.03252983176076178	S
01:28:59	8972.1893263814	-6.035206275666965e-05	H
01:29:59	8971.4455042143	-0.008290308419071218	B
01:30:59	8971.6614402545	0.0024069258415351413	H
01:31:59	8971.8632501217	0.0022494146546169127	S
01:32:59	8971.0123031925	-0.009484617692860485	H
01:33:59	8970.2633577861	-0.008348504952259092	H
01:34:59	8966.6132952861	-0.04069069495970538	H
01:35:59	8966.2511382666	-0.004038949908672289	B
01:36:59	8966.6330862118	0.004259839918708093	S
01:37:59	8966.0053666769	-0.007000615826074438	H
01:38:59	8964.7809133977	-0.013656619967572553	H
01:39:59	8954.105527602	-0.11908139082068181	H
01:40:59	8950.7080856707	-0.037942839972423	H
01:41:59	8949.7499029337	-0.010705105426622164	H
01:42:59	8949.2155164628	-0.005970965409035228	H
01:43:59	8947.4542728995	-0.019680424055718227	B
01:44:59	8948.8910457766	0.01605789572405191	H
01:45:59	8960.5190433563	0.12993786068261945	H
01:46:59	8971.0870600582	0.11793978284924848	H
01:47:59	8972.1650083114	0.01201580417159389	H
01:48:59	8972.2818744398	0.0013025410064445397	S
01:49:59	8971.2220774928	-0.01181189982471617	B
01:50:59	8971.611696295	0.00434298469969149	H
01:51:59	8973.4996006011	0.02104308980381145	H
01:52:59	8973.765044194	0.0029580832976472985	H
01:53:59	8976.3202675016	0.02847437274115854	H
01:54:59	8978.7233409873	0.026771253855556128	H
01:55:59	8985.127284912	0.07132354658334757	H
01:56:59	9061.339813805	0.8482075598525765	S
01:57:59	9060.0680701359	-0.014034830336707212	B
01:58:59	9064.9329317119	0.05369564045591361	S
01:59:59	9058.9774858412	-0.06569762750110095	B
02:00:59	9068.0319097409	0.09994973399426937	H
02:01:59	9071.7072829382	0.04053110127846226	S
02:02:59	9067.3675027043	-0.04783862726768738	H
02:03:59	9056.7667411615	-0.11691112706788644	H
02:04:59	9046.2712941158	-0.11588514252000724	H
02:05:59	9044.1475379747	-0.023476591316482897	B
02:06:59	9054.0160656837	0.10911506770055258	H
02:07:59	9054.5164832309	0.005527022964947934	H
02:08:59	9056.5927729105	0.022930983487034005	S
02:09:59	9055.1664341304	-0.01574917649346638	H
02:10:59	9043.1457042644	-0.13274996051638102	H
02:11:59	9040.8852859699	-0.024995929164712674	B
02:12:59	9049.3475429099	0.0935998707242975	H
02:13:59	9052.4838477401	0.0346578006351214	H
02:14:59	9057.8760703596	0.05956622193637182	S
02:15:59	9055.8022533855	-0.02289517937749281	H
02:16:59	9051.2631762344	-0.05012341285833991	H
02:17:59	9047.4806955798	-0.04178953347122774	H
02:18:59	9042.0399018453	-0.06013600821670408	B
02:19:59	9044.3310710406	0.025339074148875797	H
02:20:59	9051.4787101033	0.07902894096375752	H
02:21:59	9052.1063301934	0.006933895667221166	H
02:22:59	9052.1332600588	0.0002974983326301555	S
02:23:59	9021.9167269007	-0.3338056598373997	H
02:24:59	9004.9169014816	-0.18842809054545034	B
02:25:59	9014.4259427981	0.10559832389941673	H
02:26:59	9016.9590440697	0.02810052783919573	S
02:27:59	9003.6503255914	-0.1475965279786068	H
02:28:59	8984.2748144217	-0.21519617565141833	B
02:29:59	8992.6553145979	0.09327965082665143	H
02:30:59	9008.0150324286	0.17080291964229144	S
02:31:59	9000.3056972867	-0.0855830625742447	B
02:32:59	9007.4597974449	0.07948730186306471	S
02:33:59	9007.090454706	-0.004100409518402854	B
02:34:59	9007.8688535735	0.008642067839935782	S
02:35:59	8996.0855191735	-0.13081156699261443	H
02:36:59	8994.4065311601	-0.01866353993436038	B
02:37:59	9001.7919191244	0.08211089790875539	H
02:38:59	9003.4276964308	0.018171685383261874	H
02:39:59	9006.2558691428	0.0314121777545042	H
02:40:59	9007.9789225315	0.019131739245862128	H
02:41:59	9008.8362095795	0.009516974399839008	S
