open,high,low,close,lowerlow,m_lowerlow
19307.18748761683,19332.0,19289.3,19307.9,0.0,0
19307.54374380841,19307.54374380841,19281.6,19294.875,0.0,0
19301.20937190421,19307.8,19293.3,19300.275,0.0,0
19300.742185952106,19309.4,19295.9,19303.325,0.0,0
19302.03359297605,19311.0,19285.8,19300.45,0.0,0
19301.24179648803,19319.0,19268.5,19292.8,0.0,0
19297.020898244016,19315.1,19277.6,19290.525,0.0,0
19293.77294912201,19293.77294912201,19225.8,19267.175000000003,0.0,0
19280.47397456101,19286.3,19250.8,19269.675,0.0,0
19275.0744872805,19303.9,19258.0,19281.050000000003,0.0,0
19278.06224364025,19296.4,19277.6,19290.075,0.0,0
19284.068621820126,19299.2,19284.0,19294.7,0.0,0
19289.384310910064,19332.0,19289.384310910064,19305.3,0.0,0
19297.34215545503,19316.5,19295.2,19305.35,0.0,0
19301.346077727518,19338.8,19301.346077727518,19324.225,0.0,0
19312.785538863754,19337.5,19306.9,19320.7,0.0,0
19316.74276943188,19321.8,19297.7,19308.85,0.0,0
19312.796384715937,19312.796384715937,19276.3,19294.525,0.0,0
19303.660692357967,19303.660692357967,19276.0,19289.85,0.0,0
19296.755346178983,19306.5,19292.4,19299.65,0.0,0
19298.20267308949,19302.0,19288.4,19295.0,0.0,0
19296.601336544747,19310.3,19287.4,19299.125,0.0,0
19297.86316827237,19310.6,19297.86316827237,19306.1,0.0,0
19301.981584136185,19328.2,19295.4,19313.550000000003,0.0,0
19307.76579206809,19326.9,19307.76579206809,19321.025,0.0,0
19314.395396034048,19348.1,19314.395396034048,19332.45,0.0,0
19323.42269801702,19389.0,19317.9,19344.325,0.0,0
19333.87384900851,19356.7,19288.2,19323.15,0.0,0
19328.51192450425,19373.9,19320.2,19339.975,0.0,0
19334.243462252125,19374.4,19315.2,19346.15,0.0,0
19340.196731126063,19355.2,19305.0,19332.175,0.0,0
19336.18586556303,19336.18586556303,19260.9,19293.550000000003,0.0,0
19314.86793278152,19314.86793278152,19213.6,19262.025,0.0,0
19288.44646639076,19288.44646639076,19245.4,19268.2,0.0,0
19278.32323319538,19291.3,19276.4,19282.725,1.0,1
19280.52411659769,19295.5,19270.0,19281.35,0.0,0
19280.937058298845,19292.9,19260.8,19275.8,0.0,0
19278.368529149426,19278.368529149426,19258.0,19271.5,0.0,0
19274.93426457471,19279.2,19242.9,19263.95,0.0,0
19269.442132287357,19275.4,19256.9,19266.15,0.0,0
